Wake-up Time (Hour),Exercise,Meditation,Breakfast,Screen Time Before Work (min),Productivity Score
8.38,No,No,Yes,23.2,6.6
4.87,No,Yes,Yes,41.8,8.7
6.95,No,Yes,No,90.1,6.2
8.18,Yes,No,No,100.0,5.9
8.27,No,No,No,90.2,4.3
5.32,Yes,No,No,8.5,9.0
9.49,No,Yes,No,51.7,5.5
5.52,No,No,Yes,7.0,8.4
8.0,No,No,No,119.8,3.9
8.98,Yes,Yes,No,45.8,6.3
4.89,Yes,Yes,No,2.5,9.9
7.53,No,Yes,No,34.7,7.2
8.38,No,No,No,63.0,5.0
8.55,Yes,No,Yes,22.3,6.2
7.87,No,No,No,82.3,4.9
6.58,No,Yes,No,12.0,8.4
6.53,No,Yes,Yes,70.7,7.0
6.53,Yes,Yes,No,27.3,9.2
6.92,Yes,No,No,82.7,6.9
8.67,Yes,No,No,70.1,4.7
6.91,Yes,No,No,82.9,6.9
7.92,Yes,No,Yes,53.8,7.7
6.85,Yes,No,Yes,116.8,6.1
6.4,No,No,No,72.1,6.1
6.88,No,No,Yes,15.0,7.4
8.76,Yes,Yes,Yes,104.1,6.1
5.51,Yes,No,No,51.4,8.3
4.59,Yes,No,No,114.4,6.8
7.58,Yes,Yes,No,110.8,6.2
6.55,Yes,Yes,No,100.3,7.0
4.71,No,No,No,49.1,7.2
5.52,Yes,No,No,77.6,7.5
7.5,Yes,Yes,No,82.2,7.1
9.39,Yes,No,Yes,51.2,5.9
4.88,Yes,Yes,Yes,66.4,9.1
4.52,Yes,No,No,48.2,7.6
8.62,Yes,No,No,109.9,4.2
5.89,Yes,Yes,No,59.2,9.1
5.13,No,Yes,No,6.4,9.1
6.99,Yes,Yes,No,56.1,8.4
7.0,Yes,No,No,63.4,7.7
6.39,Yes,Yes,No,49.6,8.6
8.95,Yes,No,Yes,83.6,5.7
9.35,Yes,No,Yes,76.3,5.4
4.76,No,No,Yes,69.5,7.5
6.59,No,Yes,Yes,25.4,8.6
6.08,Yes,Yes,No,85.8,8.2
6.13,No,No,No,44.6,6.5
5.0,Yes,No,No,91.4,7.7
9.13,No,No,Yes,2.9,6.2
8.05,No,No,No,62.4,5.1
7.09,Yes,No,No,39.0,6.6
7.61,No,Yes,No,33.0,6.7
7.39,Yes,Yes,Yes,51.2,8.2
5.08,No,No,No,61.3,6.7
4.8,Yes,No,Yes,72.8,8.6
5.51,Yes,No,No,103.5,7.5
4.86,Yes,Yes,No,58.3,9.3
7.63,Yes,Yes,Yes,2.2,9.0
9.48,No,No,No,107.7,2.8
7.21,No,No,Yes,38.0,6.5
9.15,Yes,Yes,No,43.1,6.7
9.19,No,Yes,No,61.2,5.2
5.81,Yes,No,No,39.0,8.8
8.63,No,No,No,32.5,4.7
9.36,No,Yes,No,38.2,5.4
6.44,Yes,Yes,Yes,19.1,10.0
8.37,No,Yes,Yes,103.1,5.5
5.29,Yes,No,No,8.5,8.6
6.46,No,Yes,Yes,28.9,8.3
5.87,No,Yes,Yes,95.5,7.7
9.27,Yes,Yes,Yes,85.9,6.3
9.47,No,No,No,92.8,3.6
6.31,No,Yes,Yes,65.5,7.8
8.02,Yes,Yes,No,9.9,8.2
5.36,No,No,No,16.7,7.5
6.97,Yes,Yes,No,7.6,10.0
5.36,Yes,No,Yes,72.5,8.7
8.24,Yes,Yes,No,69.1,6.9
7.95,No,No,No,11.8,5.9
8.22,No,No,No,32.5,6.0
9.09,Yes,Yes,Yes,38.0,6.6
4.81,Yes,No,Yes,10.5,9.3
8.03,Yes,No,No,104.4,5.7
5.01,No,No,Yes,85.2,6.6
4.93,No,No,No,101.1,5.7
5.59,No,Yes,Yes,104.6,7.3
6.27,Yes,No,No,69.6,7.0
7.47,No,No,Yes,114.3,4.4
9.04,Yes,No,Yes,114.0,4.8
5.69,Yes,Yes,No,88.5,8.7
8.56,No,Yes,No,43.0,4.9
7.38,Yes,No,Yes,117.4,5.9
7.18,No,No,No,33.5,5.5
6.91,No,No,No,55.6,6.4
9.26,No,No,Yes,72.5,4.4
5.14,No,Yes,No,119.6,7.0
6.57,No,Yes,Yes,60.3,7.4
7.95,No,No,Yes,108.4,4.4
4.93,Yes,Yes,No,88.6,8.5
6.11,Yes,Yes,Yes,97.8,8.6
8.84,No,No,No,2.4,5.0
4.95,Yes,No,No,53.0,8.3
8.75,Yes,Yes,No,39.3,6.7
8.45,No,Yes,Yes,28.4,7.7
8.3,No,No,Yes,10.7,6.8
9.01,No,No,No,105.2,2.7
6.02,No,No,Yes,53.2,6.6
8.15,Yes,No,No,22.1,7.4
6.91,No,Yes,Yes,88.6,7.0
8.05,No,No,Yes,27.6,6.3
4.66,No,Yes,Yes,16.3,8.9
9.0,No,Yes,Yes,89.0,5.2
5.71,Yes,Yes,Yes,39.3,9.9
7.15,Yes,Yes,Yes,46.3,7.6
5.04,No,Yes,No,94.3,7.1
6.43,Yes,No,Yes,8.8,9.3
5.68,Yes,No,Yes,107.4,7.0
8.26,No,Yes,Yes,85.1,5.7
8.79,No,No,Yes,37.6,4.7
7.08,No,Yes,No,109.2,5.3
7.36,Yes,No,Yes,51.1,7.8
5.65,Yes,Yes,Yes,17.2,10.0
7.37,Yes,No,No,89.5,6.4
6.63,No,No,Yes,35.2,7.4
6.58,No,Yes,Yes,71.4,7.1
6.85,No,Yes,No,82.9,6.9
5.33,No,Yes,Yes,49.8,8.5
7.98,No,Yes,No,60.9,6.4
4.92,No,No,Yes,63.0,6.9
4.84,Yes,Yes,No,60.4,9.3
8.14,Yes,No,Yes,49.1,7.4
6.61,No,Yes,Yes,71.7,7.4
9.03,Yes,Yes,Yes,6.4,7.9
5.16,Yes,Yes,Yes,105.9,8.7
9.16,No,Yes,No,99.7,4.4
7.33,No,No,Yes,70.6,5.4
6.81,No,No,No,9.4,7.2
7.98,No,No,No,114.4,4.6
7.28,No,Yes,Yes,72.8,6.6
4.85,No,No,Yes,34.2,8.0
6.05,No,Yes,Yes,6.0,8.8
4.82,No,Yes,No,9.0,8.4
8.37,No,Yes,Yes,38.6,7.0
6.96,Yes,Yes,Yes,82.6,9.1
5.64,No,No,No,59.2,7.2
4.89,Yes,No,No,6.7,9.1
5.8,Yes,Yes,Yes,22.8,10.0
6.0,No,No,No,73.6,6.9
7.87,No,Yes,Yes,93.9,5.8
6.77,No,No,No,96.9,5.4
8.73,No,No,No,118.7,2.4
4.73,Yes,No,No,18.0,8.4
8.85,Yes,Yes,No,2.8,7.7
7.85,Yes,Yes,No,109.4,6.4
5.47,No,No,Yes,26.8,8.2
4.7,No,No,Yes,6.2,8.5
7.71,Yes,No,Yes,79.8,6.8
7.17,Yes,Yes,No,12.7,8.4
6.46,Yes,No,Yes,58.5,8.2
5.92,Yes,Yes,No,94.0,8.1
5.6,Yes,No,Yes,5.7,9.3
8.67,No,Yes,No,44.0,5.4
8.42,No,Yes,No,117.2,5.3
7.61,No,Yes,Yes,98.1,5.9
5.64,Yes,No,No,8.4,9.6
8.19,No,Yes,Yes,39.3,7.6
5.91,Yes,No,Yes,1.7,9.9
8.68,No,No,No,35.4,4.3
8.46,No,Yes,Yes,112.5,5.9
5.71,Yes,No,No,63.1,8.1
6.43,No,Yes,No,100.0,6.7
6.17,No,No,Yes,52.8,7.0
4.85,Yes,No,No,113.8,6.9
8.7,No,No,No,103.9,3.2
9.14,No,No,Yes,7.8,5.3
7.48,Yes,Yes,No,42.5,7.7
8.61,Yes,No,Yes,71.2,6.1
5.87,No,Yes,No,31.7,8.6
4.64,No,No,No,27.6,7.8
7.7,No,No,Yes,27.2,6.2
8.81,Yes,No,No,107.3,4.1
8.67,No,Yes,Yes,92.5,5.0
9.06,Yes,Yes,Yes,39.1,7.2
8.77,Yes,No,Yes,9.7,6.8
7.77,Yes,No,Yes,4.8,8.4
6.34,Yes,No,Yes,25.8,9.1
6.12,Yes,Yes,No,30.3,9.0
4.52,No,Yes,No,93.8,6.8
9.42,Yes,Yes,No,73.0,6.4
5.72,No,Yes,Yes,34.3,8.9
7.48,Yes,Yes,No,73.1,7.4
6.29,No,Yes,No,96.2,6.7
4.67,No,Yes,Yes,66.1,8.8
5.91,Yes,No,No,53.0,8.3
7.34,Yes,No,Yes,46.2,7.5
7.15,No,No,Yes,34.0,6.1
5.85,Yes,Yes,No,72.2,9.1
8.63,No,No,Yes,50.8,4.5
9.42,Yes,Yes,No,36.5,6.5
8.3,No,No,Yes,112.3,4.7
4.51,No,No,No,45.0,6.7
6.58,Yes,No,Yes,94.8,7.2
7.28,No,No,Yes,69.8,5.9
6.04,No,Yes,Yes,98.6,6.8
5.98,No,Yes,Yes,43.3,8.4
9.1,Yes,No,No,69.0,4.9
6.21,No,Yes,No,2.7,8.7
4.68,No,Yes,Yes,52.3,8.2
8.69,No,No,Yes,74.8,4.5
6.25,No,No,No,113.3,5.3
6.61,No,Yes,No,51.2,7.7
8.03,Yes,No,No,50.0,6.8
7.54,Yes,Yes,No,60.2,7.7
9.24,No,Yes,No,106.9,3.9
8.54,No,No,Yes,71.4,4.4
9.13,No,No,Yes,64.3,4.5
4.71,Yes,No,No,8.3,9.2
6.54,No,No,Yes,56.2,7.2
7.55,Yes,No,No,73.1,6.5
5.33,Yes,No,Yes,6.4,9.2
5.91,Yes,No,No,80.5,7.6
4.96,No,No,No,17.7,7.6
9.11,No,No,Yes,103.1,4.1
7.75,No,Yes,No,81.1,6.0
5.24,Yes,Yes,Yes,65.2,9.3
5.14,Yes,Yes,Yes,43.1,9.4
5.79,Yes,No,No,107.0,6.6
6.42,No,No,No,13.9,6.9
4.76,No,No,Yes,52.6,7.7
7.43,No,Yes,Yes,72.8,6.2
8.73,No,No,No,10.5,5.4
6.92,No,Yes,No,100.5,6.2
8.26,Yes,Yes,No,94.2,6.4
4.84,No,No,No,71.5,6.7
9.3,Yes,Yes,No,48.6,6.1
6.66,Yes,Yes,Yes,58.6,8.7
8.06,Yes,Yes,No,77.5,6.6
5.39,Yes,No,Yes,78.9,8.5
7.53,No,Yes,Yes,49.2,7.3
9.35,No,Yes,No,59.6,5.2
5.16,No,No,No,91.9,6.4
5.12,No,Yes,Yes,117.2,7.7
6.98,Yes,Yes,Yes,29.5,9.4
6.62,No,No,No,79.7,5.4
6.17,No,No,No,2.1,7.7
7.7,Yes,Yes,Yes,7.5,9.2
8.38,No,Yes,No,94.5,5.8
9.09,Yes,No,Yes,67.4,5.2
7.31,No,Yes,Yes,49.1,7.0
7.92,No,No,No,12.2,5.9
5.2,Yes,No,No,5.5,9.5
7.55,Yes,No,No,69.0,6.2
6.31,No,Yes,Yes,37.7,8.0
4.57,No,Yes,Yes,71.5,8.3
8.41,Yes,Yes,No,80.7,7.5
5.62,No,Yes,Yes,40.3,8.5
8.93,Yes,Yes,No,41.4,6.8
7.18,No,Yes,Yes,103.3,6.0
4.93,No,No,No,21.4,7.5
6.97,No,No,No,115.9,5.6
8.76,Yes,No,Yes,37.9,6.7
6.46,Yes,No,Yes,84.2,6.9
8.65,No,Yes,No,77.5,4.6
9.03,Yes,No,No,75.8,4.5
5.97,Yes,Yes,No,117.4,7.8
8.92,Yes,No,Yes,72.5,5.5
4.65,No,Yes,No,111.7,7.3
9.22,Yes,Yes,No,97.8,5.8
5.17,No,Yes,Yes,46.9,8.6
8.84,Yes,No,Yes,11.2,6.6
4.76,No,No,Yes,14.3,7.9
8.69,No,No,No,7.6,4.9
4.55,No,Yes,No,83.5,7.5
6.37,Yes,No,Yes,25.0,9.2
5.19,Yes,No,No,58.4,7.6
8.17,No,No,No,64.6,4.9
6.05,Yes,Yes,No,116.0,7.6
7.62,No,No,Yes,45.2,5.6
6.51,No,No,Yes,71.3,6.3
8.74,No,Yes,Yes,18.1,6.0
6.52,No,Yes,No,4.8,8.2
6.89,Yes,No,Yes,65.2,7.8
7.05,No,Yes,Yes,37.9,7.4
6.16,Yes,No,No,113.7,7.0
7.96,No,No,Yes,45.4,5.8
7.82,Yes,Yes,Yes,117.7,6.8
6.53,Yes,Yes,Yes,108.8,8.6
6.74,Yes,No,No,63.7,7.7
5.78,Yes,Yes,No,52.3,9.3
5.05,No,Yes,No,48.6,8.1
8.71,No,Yes,Yes,41.0,5.8
4.69,Yes,No,Yes,104.7,7.4
9.42,Yes,Yes,Yes,60.3,7.0
6.75,Yes,No,No,40.2,7.9
4.68,Yes,No,No,31.3,8.8
7.49,Yes,Yes,Yes,91.6,8.1
6.06,Yes,No,No,22.4,8.2
8.98,Yes,Yes,Yes,67.2,6.6
5.31,No,No,Yes,69.2,7.5
8.71,No,Yes,No,70.4,4.4
6.85,Yes,Yes,No,90.2,8.1
8.61,Yes,Yes,Yes,76.6,5.7
7.58,No,No,No,13.9,6.6
9.46,No,Yes,No,44.0,5.6
9.19,Yes,No,No,107.3,3.8
8.27,Yes,Yes,Yes,82.7,7.6
5.59,No,Yes,Yes,104.6,7.4
7.58,Yes,No,Yes,37.8,7.9
9.17,Yes,Yes,Yes,44.1,7.3
8.95,Yes,Yes,Yes,0.4,7.6
9.04,No,Yes,Yes,77.7,5.5
6.75,No,Yes,Yes,67.0,7.3
5.19,Yes,Yes,No,82.8,8.4
5.55,Yes,No,No,111.0,7.1
7.06,Yes,Yes,No,74.3,7.1
7.44,No,Yes,Yes,119.2,5.7
9.45,Yes,Yes,No,84.2,5.4
6.22,No,No,No,91.3,5.7
4.69,Yes,No,Yes,105.3,8.0
9.27,Yes,No,No,112.9,4.1
7.16,Yes,No,Yes,26.9,7.7
4.7,Yes,Yes,No,116.3,8.0
6.83,No,No,Yes,105.9,6.0
5.89,Yes,Yes,No,53.6,9.0
4.95,Yes,Yes,No,105.7,8.4
7.8,Yes,No,No,67.6,6.2
4.57,No,No,No,39.0,7.6
6.02,Yes,No,Yes,112.8,6.6
7.64,No,Yes,Yes,91.4,6.5
4.7,Yes,Yes,No,110.7,7.8
8.66,No,Yes,No,80.6,4.9
5.73,Yes,Yes,No,29.3,9.4
7.02,Yes,Yes,No,99.7,6.7
8.8,Yes,Yes,No,112.3,5.3
5.06,No,No,No,85.2,6.7
8.18,No,Yes,No,2.0,7.6
7.95,No,No,Yes,86.4,5.3
5.62,No,Yes,Yes,113.1,7.0
6.11,No,Yes,Yes,110.6,6.8
4.69,Yes,No,Yes,5.8,9.7
7.42,Yes,No,Yes,76.1,6.3
5.03,Yes,Yes,Yes,43.1,9.7
8.58,No,Yes,Yes,90.3,5.2
8.18,Yes,Yes,Yes,32.6,8.4
5.94,No,Yes,Yes,117.0,7.6
7.65,Yes,Yes,No,62.4,8.2
6.08,No,Yes,No,40.1,7.5
9.23,Yes,Yes,No,60.9,6.6
6.91,No,No,No,75.2,5.9
9.34,Yes,Yes,Yes,83.1,6.2
6.36,Yes,Yes,Yes,12.3,9.9
9.1,Yes,No,Yes,96.7,5.1
9.07,No,No,Yes,9.4,5.9
7.24,No,No,Yes,80.3,5.3
7.99,No,Yes,Yes,4.1,7.6
6.78,Yes,Yes,Yes,18.1,9.9
6.64,Yes,Yes,Yes,92.7,8.0
5.46,No,No,Yes,66.2,7.6
4.87,No,Yes,No,5.2,8.9
6.49,No,No,Yes,99.1,5.5
5.48,No,No,Yes,36.0,7.9
7.93,No,Yes,No,14.9,7.2
8.07,Yes,Yes,No,62.9,7.8
6.48,Yes,No,No,70.6,7.3
6.05,No,No,Yes,101.3,5.6
4.57,No,No,No,32.2,7.0
7.04,No,No,Yes,24.4,6.8
5.71,No,No,No,84.8,6.3
9.43,No,No,Yes,120.0,3.7
8.3,No,No,Yes,46.4,6.3
9.28,Yes,Yes,No,2.8,7.5
6.83,Yes,No,No,69.1,7.8
7.26,No,No,No,101.5,4.2
6.69,Yes,No,No,56.4,7.3
7.49,No,Yes,Yes,69.6,6.5
6.08,No,Yes,Yes,73.4,7.1
4.71,No,No,Yes,8.7,8.1
4.6,No,Yes,No,29.4,8.0
6.68,Yes,No,Yes,109.6,6.9
9.12,No,Yes,No,39.6,5.8
8.85,Yes,Yes,Yes,55.9,6.7
5.5,No,Yes,Yes,56.3,8.0
8.41,No,Yes,No,6.9,7.5
7.93,No,Yes,Yes,7.0,7.9
4.83,No,Yes,No,16.2,8.7
5.31,Yes,No,No,64.2,7.6
7.71,Yes,Yes,No,8.8,8.1
8.51,No,No,No,33.8,4.7
6.56,No,Yes,No,28.1,8.2
8.66,No,Yes,No,101.6,4.4
5.56,Yes,No,No,88.6,7.1
6.7,No,No,No,77.7,6.1
5.38,Yes,No,Yes,116.7,7.0
4.6,No,Yes,Yes,94.0,7.0
7.37,No,Yes,Yes,72.4,6.5
8.37,No,No,Yes,116.9,4.3
8.02,Yes,Yes,Yes,111.4,6.8
7.18,Yes,No,Yes,67.5,7.4
4.67,No,No,Yes,7.8,7.9
8.21,No,No,No,16.4,6.3
6.12,No,No,Yes,54.9,6.6
8.83,No,Yes,Yes,70.3,5.6
5.12,Yes,No,Yes,20.5,9.8
4.75,Yes,No,Yes,84.5,7.8
5.27,Yes,No,Yes,100.8,7.2
6.03,Yes,Yes,Yes,19.3,9.5
9.17,Yes,Yes,Yes,37.3,7.3
8.54,No,No,Yes,22.8,5.7
8.29,Yes,Yes,No,86.7,6.6
8.82,Yes,No,No,70.1,4.5
8.0,No,No,No,86.6,4.4
4.64,No,Yes,No,49.0,8.2
8.55,Yes,No,Yes,73.3,5.5
9.42,Yes,Yes,No,108.7,5.6
8.76,No,No,Yes,81.4,3.9
9.27,Yes,No,No,54.1,4.8
7.74,No,Yes,No,52.5,6.5
8.5,Yes,Yes,Yes,87.0,5.7
6.03,No,No,No,47.9,6.8
6.45,Yes,Yes,No,1.4,10.0
9.21,Yes,No,Yes,21.7,6.1
8.44,No,No,Yes,0.7,6.6
7.19,Yes,Yes,No,29.7,7.6
7.06,Yes,Yes,Yes,117.5,7.0
8.88,Yes,No,Yes,47.3,5.8
8.06,Yes,No,No,116.7,5.3
5.44,Yes,Yes,No,76.1,8.3
7.24,Yes,No,Yes,71.4,6.3
5.88,Yes,Yes,No,85.4,8.5
9.06,Yes,No,No,89.2,4.2
5.78,No,Yes,No,114.8,6.4
5.45,Yes,Yes,Yes,96.8,8.5
6.67,Yes,Yes,No,49.4,9.2
8.49,Yes,No,No,12.1,7.3
5.12,No,Yes,No,113.7,6.8
8.87,Yes,Yes,No,118.7,5.4
5.66,Yes,Yes,No,20.1,9.5
6.07,Yes,No,No,43.0,8.3
7.15,No,Yes,No,116.3,5.3
9.03,Yes,No,Yes,48.5,5.6
7.81,Yes,Yes,No,60.1,7.2
4.77,Yes,No,Yes,63.9,8.4
7.26,Yes,Yes,No,70.3,7.6
9.49,Yes,No,Yes,100.6,4.7
7.91,No,Yes,Yes,112.5,5.3
5.25,No,No,No,88.4,6.1
4.81,Yes,No,Yes,105.0,7.4
6.22,Yes,No,Yes,34.8,8.3
7.24,Yes,Yes,No,92.8,6.9
8.7,Yes,No,No,8.2,6.2
7.7,No,No,Yes,25.4,6.7
7.73,Yes,No,No,110.8,5.5
4.92,No,No,Yes,67.8,7.1
6.44,Yes,Yes,No,101.3,7.1
8.22,Yes,No,No,5.2,8.1
8.66,Yes,Yes,Yes,18.3,7.9
8.11,Yes,No,Yes,63.7,6.6
7.14,No,Yes,Yes,35.0,7.8
8.17,Yes,No,Yes,112.0,6.2
6.13,Yes,No,Yes,87.9,7.1
6.31,Yes,Yes,No,2.3,9.8
8.45,Yes,No,Yes,24.2,7.8
5.3,Yes,Yes,Yes,93.4,8.6
6.55,Yes,Yes,Yes,110.4,8.0
6.13,Yes,Yes,Yes,32.1,9.5
5.45,No,No,Yes,57.1,6.9
8.01,No,No,Yes,62.2,5.7
6.0,Yes,Yes,Yes,108.6,8.3
8.9,Yes,Yes,Yes,87.5,6.3
4.66,Yes,Yes,Yes,16.0,10.0
8.1,Yes,Yes,No,79.1,7.0
9.06,Yes,Yes,No,2.2,7.5
4.62,Yes,Yes,Yes,7.9,10.0
7.03,Yes,Yes,No,38.2,7.4
6.75,No,No,No,23.8,6.6
8.09,No,No,Yes,107.4,5.2
7.59,Yes,Yes,Yes,6.3,9.3
8.4,No,No,No,87.1,5.1
8.19,Yes,No,Yes,83.2,6.8
5.4,No,No,Yes,108.6,6.1
5.15,No,No,Yes,99.2,5.9
8.66,Yes,Yes,Yes,31.5,7.8
6.33,No,Yes,Yes,7.1,8.7
6.36,Yes,Yes,Yes,72.0,8.3
5.12,Yes,Yes,Yes,103.6,8.2
5.05,Yes,Yes,Yes,69.2,9.5
4.74,Yes,Yes,No,96.0,7.7
9.09,No,No,Yes,13.3,5.9
7.22,Yes,Yes,No,4.7,9.0
6.94,Yes,No,Yes,103.2,7.3
8.73,Yes,No,Yes,85.0,5.5
7.88,Yes,No,Yes,67.3,6.8
5.79,No,No,Yes,52.8,7.2
5.11,Yes,No,No,38.6,8.5
8.24,Yes,Yes,Yes,21.0,8.3
7.59,No,No,Yes,72.9,5.2
6.87,Yes,No,No,103.6,5.9
7.76,No,Yes,No,6.4,7.7
6.85,No,Yes,Yes,51.6,7.5
9.15,No,Yes,Yes,75.1,5.2
5.17,No,No,Yes,2.1,8.6
7.74,Yes,Yes,No,70.0,6.7
7.55,Yes,Yes,No,66.5,8.0
9.4,Yes,No,No,117.1,4.7
8.84,No,Yes,No,87.3,3.9
8.69,Yes,Yes,No,58.8,6.3
8.0,Yes,Yes,No,109.8,6.7
6.08,No,Yes,Yes,42.6,7.4
6.89,No,Yes,No,11.5,8.5
7.36,Yes,No,Yes,76.0,6.8
8.84,Yes,No,Yes,62.8,6.3
8.16,No,No,No,88.1,4.3
5.85,No,Yes,No,8.0,8.3
8.9,Yes,No,No,28.8,6.3
5.69,No,No,Yes,59.7,7.0
9.42,Yes,No,No,101.7,4.6
8.11,No,Yes,Yes,9.9,8.0
5.59,Yes,No,Yes,91.0,7.6
4.55,Yes,No,No,116.2,6.6
6.21,No,Yes,Yes,19.3,8.3
8.7,No,No,No,113.1,3.1
5.56,No,No,No,43.2,7.1
7.52,Yes,Yes,Yes,80.2,7.9
4.91,Yes,No,No,56.0,7.8
8.03,Yes,Yes,No,98.4,6.3
6.21,No,No,No,28.0,7.4
7.76,Yes,Yes,No,35.6,8.1
6.39,Yes,Yes,Yes,23.9,10.0
6.23,No,No,No,103.3,4.9
9.41,No,No,Yes,109.4,3.4
8.37,No,Yes,No,90.3,5.6
6.83,Yes,Yes,No,103.8,8.0
4.73,Yes,Yes,Yes,93.8,8.6
6.75,Yes,No,Yes,62.5,7.8
5.38,Yes,No,Yes,92.2,7.8
7.72,Yes,No,Yes,109.2,5.6
8.69,Yes,Yes,No,118.7,5.3
6.8,No,Yes,No,39.8,7.5
5.02,Yes,No,No,3.3,9.0
7.26,No,Yes,No,35.1,6.8
6.7,Yes,No,Yes,12.4,8.4
7.3,Yes,No,No,90.1,5.6
4.58,Yes,No,No,100.7,6.9
6.32,Yes,No,Yes,114.6,6.8
6.28,No,No,No,71.5,6.5
9.49,Yes,No,Yes,93.0,5.1
6.28,Yes,Yes,No,118.3,6.9
7.1,Yes,Yes,Yes,118.1,6.2
6.27,Yes,Yes,Yes,110.2,8.6
7.29,No,Yes,Yes,70.9,6.7
6.59,Yes,No,No,80.3,6.7
8.68,Yes,Yes,Yes,108.4,6.1
8.01,No,Yes,Yes,49.7,6.9
6.83,No,Yes,Yes,106.4,6.3
4.51,Yes,Yes,Yes,37.7,9.2
5.64,No,No,No,39.9,6.7
7.54,Yes,No,No,68.3,6.2
9.49,Yes,No,No,113.3,4.2
6.27,Yes,No,No,7.6,8.3
7.12,No,Yes,No,79.3,5.7
6.11,No,Yes,Yes,37.0,8.7
8.39,Yes,Yes,No,117.0,6.3
6.94,Yes,Yes,No,50.0,8.7
8.37,No,No,No,102.5,4.3
7.84,Yes,No,Yes,7.1,7.7
4.65,Yes,No,Yes,73.6,8.4
8.98,Yes,Yes,Yes,16.7,7.4
7.76,No,Yes,Yes,73.1,6.9
7.11,Yes,No,Yes,118.9,5.4
6.85,Yes,No,Yes,21.9,9.0
6.84,No,Yes,No,11.7,7.8
7.91,Yes,Yes,No,94.8,6.9
7.34,No,Yes,Yes,110.7,5.4
6.68,Yes,No,Yes,78.6,8.1
5.4,Yes,Yes,No,114.2,8.2
7.8,No,No,No,88.2,4.2
4.71,Yes,No,Yes,12.2,9.3
5.58,Yes,No,Yes,103.2,7.8
7.76,Yes,No,Yes,38.4,7.2
8.48,Yes,No,Yes,70.4,7.0
4.77,Yes,Yes,Yes,83.9,9.5
8.25,Yes,No,No,53.0,6.8
6.8,No,Yes,No,9.0,8.2
4.74,No,Yes,No,108.3,6.5
8.08,Yes,No,Yes,106.3,6.0
8.34,No,Yes,No,25.2,6.6
8.23,No,No,Yes,101.7,4.5
8.58,No,No,No,92.6,3.2
7.95,Yes,Yes,No,0.0,9.1
7.82,Yes,Yes,No,67.4,8.0
7.41,No,No,No,20.5,6.5
7.91,No,Yes,No,83.9,5.5
6.64,No,No,No,28.7,7.0
8.53,Yes,No,No,116.0,4.4
9.09,No,Yes,Yes,82.0,5.1
9.35,No,No,Yes,118.5,3.5
8.93,Yes,No,Yes,24.0,6.9
5.18,Yes,No,Yes,22.9,9.3
7.52,No,No,Yes,35.0,6.7
9.08,Yes,Yes,No,47.0,6.8
6.41,No,No,No,49.7,6.3
5.68,Yes,Yes,Yes,55.0,10.0
6.37,Yes,No,Yes,91.8,7.1
8.47,Yes,No,Yes,75.6,6.8
9.03,No,Yes,Yes,68.0,6.0
8.03,No,No,No,68.8,4.6
6.37,Yes,Yes,Yes,67.9,9.4
5.86,Yes,Yes,Yes,89.3,9.1
5.98,No,No,No,11.6,7.8
7.14,Yes,No,No,95.7,5.5
7.46,No,Yes,Yes,81.8,6.9
8.06,Yes,Yes,No,62.6,7.3
8.13,Yes,Yes,No,76.2,7.5
5.22,No,No,Yes,19.5,7.8
8.95,No,Yes,No,9.1,6.0
6.84,Yes,Yes,Yes,109.9,7.7
9.1,Yes,No,No,51.3,5.5
6.39,Yes,Yes,Yes,26.8,9.6
8.45,No,Yes,Yes,102.5,5.7
6.02,No,No,Yes,103.2,5.5
4.52,Yes,No,Yes,104.5,7.4
6.73,No,Yes,Yes,101.8,7.2
7.58,No,Yes,No,63.3,5.9
7.62,No,No,No,53.6,5.8
6.96,Yes,No,No,61.4,7.7
6.62,No,No,Yes,32.3,7.7
7.48,Yes,No,No,71.0,6.5
6.07,No,Yes,No,4.1,8.2
8.11,Yes,No,No,9.9,7.0
7.11,No,No,No,78.4,4.5
6.36,No,Yes,Yes,111.6,7.0
9.14,Yes,Yes,Yes,116.9,6.2
8.56,Yes,No,Yes,100.5,5.2
8.39,Yes,Yes,Yes,92.2,7.5
7.0,No,Yes,Yes,47.7,7.7
6.58,Yes,Yes,Yes,45.1,8.9
5.36,No,Yes,Yes,76.8,8.1
5.99,No,Yes,No,19.1,9.2
6.25,No,Yes,No,34.9,8.1
6.78,Yes,No,Yes,75.6,8.2
5.33,No,No,No,119.7,5.4
8.12,Yes,No,No,68.7,6.5
6.48,Yes,No,No,15.1,8.5
5.51,Yes,Yes,Yes,112.3,7.9
7.18,No,Yes,Yes,36.9,7.0
4.77,Yes,No,No,93.5,7.2
4.74,Yes,Yes,No,103.9,8.1
6.2,No,No,No,89.0,6.0
6.35,No,Yes,No,48.9,7.9
7.96,Yes,No,Yes,29.7,7.2
5.82,No,No,Yes,27.6,8.1
5.08,Yes,No,No,46.5,8.1
4.83,Yes,Yes,Yes,9.8,10.0
4.82,No,Yes,Yes,46.9,8.5
7.11,Yes,No,Yes,57.7,6.6
8.21,No,Yes,No,105.6,5.0
8.2,Yes,Yes,Yes,87.2,7.8
4.77,Yes,No,Yes,75.7,8.4
8.82,No,No,No,43.8,4.4
5.09,Yes,No,No,50.0,7.8
8.97,No,Yes,Yes,17.8,6.9
